Date,Propotionearly,Earlyesc,Lateesc,Earlycatch,Latecatch,Earlytotal,Latetotal,lagoon_272_10,ocdb_272_20 ,ocdb_272_30,ocdb_272_40,kjbd_272_51,kjbd_272_53,kmbd_272_62,kmbd80_272_64,eastern,perryville,western,igvak90,sedm80
7/15/06,0.44,1007,1261,7684,9630,8690,10892,14200,0,2055,0,0,0,0,0,0,0,11896,0,0
7/16/06,0.40,374,563,8116,12193,8491,12755,16576,0,738,0,0,0,0,0,0,0,0,0,0
7/17/06,0.36,252,455,6419,11558,6671,12013,15169,0,890,0,0,0,0,0,0,0,4250,0,0
7/18/06,0.32,81,176,4540,9801,4622,9976,10305,0,3320,0,0,0,0,0,0,0,4352,0,0
7/19/06,0.28,5265,13623,19,50,5284,13673,6236,0,1130,0,0,0,"1,524",0,0,0,5451,0,0
7/20/06,0.24,3724,11549,0,0,3724,11549,69,0,0,0,0,0,0,0,0,0,0,0,0
7/21/06,0.21,3861,14356,4079,15165,7941,29520,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/06,0.18,1943,8660,7013,31252,8956,39912,19244,0,0,0,0,0,0,0,0,0,0,0,0
7/23/06,0.16,1011,5399,4804,25663,5815,31062,26068,0,1802,0,0,0,0,0,0,0,10395,0,0
7/24/06,0.14,650,4164,2989,19135,3639,23299,19309,0,28,0,0,0,0,0,0,0,11130,0,0
7/25/06,0.12,580,4450,4892,37548,5472,41998,16903,0,1977,0,0,0,0,0,0,0,3244,0,0
7/26/06,0.10,328,3019,6233,57348,6562,60367,11296,0,2690,0,0,0,"2,116",0,0,0,1165,2633.4,22540
7/27/06,0.08,348,3833,2282,25163,2629,28997,20084,0,1450,0,0,0,0,0,0,0,434,2143.8,39470
7/28/06,0.07,368,4869,1366,18054,1734,22923,19751,0,1961,0,0,0,650,0,0,0,0,5083.2,0
7/29/06,0.06,391,6197,511,8094,902,14291,14070,0,534,0,0,0,0,0,0,0,1314,3501.9,0
7/30/06,0.05,587,11145,187,3554,774,14699,0,0,1377,0,0,0,463,0,0,0,2586,4178.7,0
7/31/06,0.04,295,6718,393,8947,688,15665,0,0,0,0,0,0,416,0,0,0,2079,1245.6,0
8/1/06,0.04,108,2943,0,0,108,2943,9340,0,0,0,0,0,0,0,0,0,0,0,0
8/2/06,0.03,182,5937,0,0,182,5937,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/06,0.02,328,12870,0,0,328,12870,0,0,0,0,0,0,0,0,0,0,0,0,0
8/4/06,0.02,340,15983,0,0,340,15983,0,0,0,0,0,0,0,0,0,0,0,0,0
8/5/06,0.02,93,5213,160,8998,252,14212,0,0,0,0,0,0,0,0,0,0,0,0,0
8/6/06,0.01,36,2423,83,5630,119,8053,9158,0,0,0,0,0,0,0,0,0,0,0,0
8/7/06,0.01,15,1241,83,6703,98,7944,5196,0,517,0,0,0,0,0,0,0,0,0,0
8/8/06,0.01,20,1910,82,7917,101,9828,6114,0,519,0,0,0,153,0,0,0,0,0,0
8/9/06,0.01,17,2028,53,6210,71,8237,3701,0,353,0,0,0,0,0,0,0,3945,0,0
8/10/06,0.01,11,1504,40,5632,51,7136,4107,0,0,0,0,0,0,0,0,0,2156,0,0
8/11/06,0.01,22,3631,22,3724,44,7355,5273,0,0,0,0,0,0,0,0,0,399,0,0
8/12/06,0.00,15,3046,12,2456,27,5502,2849,0,650,0,0,0,0,0,0,0,247,0,0
8/13/06,0.00,10,2356,6,1409,16,3765,1427,0,788,0,0,0,86,0,0,0,167,0,0
8/14/06,0.00,20,5709,9,2717,29,8426,1280,0,0,0,0,0,135,0,0,0,0,0,0
8/15/06,0.00,8,2722,9,2944,16,5667,2129,0,320,0,0,0,0,0,0,0,277,0,0
8/16/06,0.00,3,1382,6,2596,10,3977,2458,0,495,0,0,0,0,0,0,0,0,0,0
8/17/06,0.00,8,3863,6,3143,14,7006,2602,0,0,0,0,0,0,0,0,0,0,0,0
8/18/06,0.00,5,2856,2,1122,7,3978,1984,0,1165,0,0,0,0,0,0,0,0,0,0
8/19/06,0.00,4,2586,3,1910,6,4497,1124,0,0,0,0,0,0,0,0,0,0,0,0
8/20/06,0.00,4,3461,1,1173,5,4634,1913,0,0,0,0,0,0,0,0,0,0,0,0
8/21/06,0.00,2,2245,1,1472,4,3716,1174,0,0,0,0,0,0,0,0,0,0,0,0
8/22/06,0.00,2,2468,2,2639,4,5107,1473,0,0,0,0,0,0,0,0,0,0,0,0
8/23/06,0.00,1,1158,1,1584,2,2742,2641,0,0,0,0,0,0,0,0,0,0,0,0
8/24/06,0.00,3,4659,1,1471,3,6131,1585,0,0,0,0,0,0,0,0,0,0,0,0
8/25/06,0.00,1,1628,1,1343,1,2972,1472,0,0,0,0,0,0,0,0,0,0,0,0
8/26/06,0.00,1,3537,0,845,2,4381,1344,0,0,0,0,0,0,0,0,0,0,0,0
8/27/06,0.00,1,2660,1,2502,2,5162,592,0,0,0,0,0,253,0,0,0,0,0,0
8/28/06,0.00,1,1855,0,1120,1,2975,2503,0,0,0,0,0,0,0,0,0,0,0,0
8/29/06,0.00,0,1193,0,2222,0,3415,1120,0,0,0,0,0,0,0,0,0,0,0,0
8/30/06,0.00,0,2357,0,0,0,2357,2222,0,0,0,0,0,0,0,0,0,0,0,0
8/31/06,0.00,0,3189,0,136,0,3325,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/06,0.00,0,4906,0,0,0,4906,136,0,0,0,0,0,0,0,0,0,0,0,0
9/2/06,0.00,0,3234,0,0,0,3234,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/06,0.00,0,3230,0,0,0,3230,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/06,0.00,0,3098,0,0,0,3098,0,0,0,0,0,0,0,0,0,0,0,0,0
9/5/06,0.00,0,2938,0,0,0,2938,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/06,0.00,0,2806,0,0,0,2806,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/06,0.00,0,2668,0,0,0,2668,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/06,0.00,0,2544,0,0,0,2544,0,0,0,0,0,0,0,0,0,0,0,0,0
9/9/06,0.00,0,2422,0,0,0,2422,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/06,0.00,0,2308,0,0,0,2308,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/06,0.00,0,2197,0,0,0,2197,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/06,0.00,0,2094,0,0,0,2094,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/06,0.00,0,1994,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/06,0.00,0,1899,0,0,0,1899,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/06,0.00,0,1809,0,0,0,1809,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/06,0.00,0,1723,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/06,0.00,0,1641,0,0,0,1641,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/06,0.00,0,1563,0,0,0,1563,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/06,0.00,0,1489,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/06,0.00,0,1418,0,0,0,1418,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/06,0.00,0,1351,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/06,0.00,0,1287,0,0,0,1287,0,0,0,0,0,0,0,0,0,0,0,0,0
9/23/06,0.00,0,1226,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/06,0.00,0,1168,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/06,0.00,0,1112,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/06,0.00,0,1059,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/06,0.00,0,1009,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/06,0.00,0,961,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/06,0.00,0,915,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/06,0.00,0,872,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/07,1.00,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/07,1.00,72,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/3/07,1.00,1590,0,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/07,1.00,1388,0,0,0,1388,0,0,0,0,83,0,0,0,0,0,0,0,0,0
6/5/07,1.00,882,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/07,1.00,1017,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/07,1.00,4875,2,0,0,4875,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/07,1.00,6003,3,0,0,6003,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/07,1.00,3124,2,0,0,3124,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6/10/07,1.00,5867,6,165,0,6032,6,165,0,0,0,0,0,0,0,0,0,0,0,0
6/11/07,1.00,4876,6,0,0,4876,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/07,1.00,6919,11,451,1,7370,12,452,0,0,0,0,0,0,0,0,0,0,0,0
6/13/07,1.00,20784,44,0,0,20784,44,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/07,1.00,28461,78,1104,3,29565,81,1107,0,0,0,0,0,0,0,0,0,0,0,0
6/15/07,1.00,16328,59,924,3,17252,62,927,0,0,0,0,0,0,0,0,0,0,0,0
6/16/07,1.00,8942,42,18227,85,27169,127,18312,0,0,0,0,0,0,0,0,0,0,0,0
6/17/07,0.99,6566,40,14986,91,21552,131,13819,0,1258,0,0,0,0,0,0,0,0,0,0
6/18/07,0.99,12741,101,9081,72,21822,173,9153,0,0,0,0,0,0,0,0,0,0,0,0
6/19/07,0.99,22607,234,3320,34,25927,268,0,0,1504,0,0,0,0,0,0,0,0,0,0
6/20/07,0.99,18108,244,2167,29,20275,273,1286,0,0,0,0,0,910,0,0,0,0,0,0
6/21/07,0.98,26295,462,0,0,26295,462,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/07,0.98,22147,508,0,0,22147,508,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/07,0.97,22123,661,1180,35,23303,696,1215,0,0,0,0,0,0,0,0,0,0,0,0
6/24/07,0.96,23354,910,0,0,23354,910,0,0,0,0,0,0,0,0,0,0,0,0,0
6/25/07,0.95,12124,616,29580,1502,41704,2118,0,0,0,0,0,0,0,0,0,0,0,31082,0
6/26/07,0.94,8732,578,38690,2561,47422,3139,19807,0,0,0,0,0,0,0,0,0,0,21444,0
6/27/07,0.92,10873,938,17648,1523,28521,2461,18448,0,723,0,0,0,0,0,0,0,0,0,0
6/28/07,0.90,20933,2355,2024,228,22958,2582,0,0,679,0,0,0,0,0,0,0,0,0,0
6/29/07,0.87,12246,1796,5917,868,18164,2663,6055,0,0,0,0,0,0,0,730,0,0,0,0
6/30/07,0.84,2859,546,13804,2639,16663,3185,13276,0,0,0,0,0,0,0,3167,0,0,0,0
7/1/07,0.80,1408,351,11688,2912,13096,3263,12007,0,646,0,0,0,0,0,0,0,0,0,0
7/2/07,0.75,5622,1826,13019,4228,18640,6055,10434,0,2316,0,0,0,1037,0,2101,0,0,0,0
7/3/07,0.70,3450,1461,12582,5328,16033,6788,8101,0,1539,0,0,0,936,0,5002,0,0,0,0
7/4/07,0.64,2483,1370,10487,5788,12970,7158,10932,0,954,0,0,0,981,0,1630,0,0,0,0
7/5/07,0.58,1176,846,14982,10780,16158,11626,17313,0,405,0,0,0,830,0,5942,0,0,0,0
7/6/07,0.52,1789,1677,10837,10164,12625,11842,13677,0,762,0,0,0,487,0,3115,0,0,0,0
7/7/07,0.45,4072,4978,5033,6154,9105,11132,4208,0,0,0,0,0,1707,0,2643,0,0,0,0
7/8/07,0.39,7100,11316,2196,3501,9296,14817,0,782,0,0,0,0,1435,0,2175,0,0,0,0
7/9/07,0.32,4415,9172,1521,3161,5936,12333,0,0,0,0,0,0,1305,0,3377,0,0,0,0
7/10/07,0.27,3729,10101,3763,10191,7492,20292,13954,0,0,0,0,0,0,0,0,0,0,0,0
7/11/07,0.22,588,2076,4331,15291,4919,17367,17814,0,1100,0,0,0,0,0,0,0,0,0,0
7/12/07,0.18,649,2987,4260,19608,4909,22595,16810,0,641,0,0,0,810,0,0,0,5607,0,0
7/13/07,0.14,134,801,3155,18931,3289,19732,14590,0,2663,0,0,0,0,0,0,0,3831,0,0
7/14/07,0.11,201,1572,2823,22082,3024,23654,15006,0,962,0,0,0,1346,0,0,0,7433,0,0
7/15/07,0.09,114,1160,2845,29006,2959,30166,18337,0,1987,0,0,0,254,0,0,0,11273,0,0
7/16/07,0.07,219,2910,1993,26492,2212,29402,16321,0,3585,0,0,0,0,0,0,0,5622,0,0
7/17/07,0.05,135,2346,2284,39571,2420,41916,14443,0,4355,0,0,0,3266,0,0,0,16621,0,0
7/18/07,0.04,768,17346,609,13751,1377,31097,0,0,3081,0,0,0,0,0,0,0,9297,0,0
7/19/07,0.03,870,25613,6,174,876,25787,0,0,0,0,0,0,180,0,0,0,0,0,0
7/20/07,0.03,793,30422,0,0,793,30422,0,0,0,0,0,0,0,0,0,0,0,0,0
7/21/07,0.02,146,7291,306,15299,452,22590,15605,0,0,0,0,0,0,0,0,0,0,0,0
7/22/07,0.02,32,2118,269,17570,302,19687,15546,0,0,0,0,0,0,0,0,0,0,0,0
7/23/07,0.01,29,2456,308,26164,337,28620,16655,0,3216,0,0,0,1469,0,0,0,1446,0,0
7/24/07,0.01,42,4705,292,32408,335,37112,19882,0,1557,0,0,0,1721,0,0,0,2000,0,0
7/25/07,0.01,22,3242,182,26226,204,29468,12355,0,1778,0,0,0,1550,0,0,0,3217,0,0
7/26/07,0.01,16,3002,136,25674,152,28676,10545,0,2634,0,0,0,2671,0,0,0,4477,0,0
7/27/07,0.00,11,2781,83,20294,94,23075,10738,0,0,0,0,0,4501,0,0,0,3025,0,0
7/28/07,0.00,9,2809,66,21212,75,24021,11121,0,604,0,0,0,1377,0,0,0,6071,0,0
7/29/07,0.00,10,4292,52,21639,62,25931,10130,0,209,0,0,0,2297,0,0,0,4384,0,0
7/30/07,0.00,4,2075,25,13423,29,15498,7120,0,0,0,0,0,1433,0,0,0,3025,0,0
7/31/07,0.00,4,3101,19,13241,23,16342,6343,0,749,0,0,0,1785,0,0,219,2281,0,0
8/1/07,0.00,2,1687,14,13213,16,14900,5809,0,936,0,0,0,1883,0,0,0,2685,0,0
8/2/07,0.00,3,3475,15,18061,18,21536,5647,0,476,0,0,0,1914,0,0,0,6541,0,0
8/3/07,0.00,1,1710,13,21001,14,22711,6268,0,0,0,0,0,3150,0,0,376,8955,0,0
8/4/07,0.00,1,2660,5,10396,6,13056,5985,0,0,0,0,0,2265,0,0,221,550,0,0
8/5/07,0.00,1,3157,4,11978,6,15134,6153,0,173,0,0,0,1380,0,0,0,1650,0,0
8/6/07,0.00,1,3178,3,11605,4,14783,6360,0,109,0,0,0,2642,0,0,0,808,0,0
8/7/07,0.00,0,1677,2,10870,3,12546,6172,0,650,0,0,0,1689,0,0,0,1195,0,0
8/8/07,0.00,0,2674,1,6101,1,8775,3401,0,0,0,0,0,1191,0,0,0,592,0,0
8/9/07,0.00,0,1837,1,6110,1,7947,3584,0,203,0,0,0,918,0,0,0,802,0,0
8/10/07,0.00,0,1176,0,4672,1,5847,2378,0,348,0,0,0,665,0,0,0,505,0,0
8/11/07,0.00,0,2764,0,4526,1,7289,2975,0,381,28,0,0,776,0,0,0,366,0,0
8/12/07,0.00,0,2103,0,3748,0,5851,1883,0,758,0,0,0,0,0,0,0,309,0,0
8/13/07,0.00,0,3317,0,3393,0,6710,0,0,1084,0,0,0,798,0,0,0,439,0,0
8/14/07,0.00,0,2739,0,2033,0,4772,511,0,0,0,0,0,1072,0,0,0,450,0,0
8/15/07,0.00,0,2163,0,2532,0,4695,2532,0,0,0,0,0,0,0,0,0,0,0,0
8/16/07,0.00,0,2094,0,2684,0,4778,2302,0,382,0,0,0,0,0,0,0,0,0,0
8/17/07,0.00,0,3992,0,4381,0,8373,2952,0,669,0,0,0,0,0,0,0,760,0,0
8/18/07,0.00,0,2914,0,3183,0,6097,1865,0,758,0,0,0,0,0,0,0,560,0,0
8/19/07,0.00,0,3573,0,2427,0,6000,1947,0,113,0,0,0,0,0,0,0,367,0,0
8/20/07,0.00,0,1661,0,2391,0,4052,1939,0,85,0,0,0,0,0,0,0,87,0,0
8/21/07,0.00,0,1296,0,3006,0,4302,2096,0,294,0,0,0,304,0,0,0,20,0,0
8/22/07,0.00,0,1324,0,2311,0,3635,1643,0,0,0,0,0,292,0,0,0,0,0,0
8/23/07,0.00,0,1992,0,2616,0,4608,1798,0,0,0,0,0,273,0,0,0,545,0,0
8/24/07,0.00,0,2934,0,2533,0,5467,1629,0,0,0,0,0,0,0,0,0,520,0,0
8/25/07,0.00,0,1864,0,3386,0,5250,2746,0,0,0,0,0,384,0,0,0,256,0,0
8/26/07,0.00,0,3145,0,2359,0,5504,2198,0,0,0,0,0,0,0,0,0,161,0,0
8/27/07,0.00,0,3699,0,1481,0,5180,1145,0,0,0,0,0,0,0,0,0,336,0,0
8/28/07,0.00,0,2472,0,2502,0,4974,2090,0,0,0,0,0,0,0,0,0,412,0,0
8/29/07,0.00,0,2378,0,2165,0,4543,2157,0,8,0,0,0,0,0,0,0,0,0,0
8/30/07,0.00,0,1607,0,1626,0,3233,1517,0,101,0,0,0,0,0,0,0,8,0,0
8/31/07,0.00,0,1790,0,1888,0,3678,1885,0,3,0,0,0,0,0,0,0,0,0,0
9/1/07,0.00,0,2484,0,2363,0,4847,2363,0,0,0,0,0,0,0,0,0,0,0,0
9/2/07,0.00,0,1499,0,1730,0,3229,1730,0,0,0,0,0,0,0,0,0,0,0,0
9/3/07,0.00,0,1612,0,2191,0,3803,2191,0,0,0,0,0,0,0,0,0,0,0,0
9/4/07,0.00,0,1210,0,2129,0,3339,2129,0,0,0,0,0,0,0,0,0,0,0,0
9/5/07,0.00,0,2480,0,451,0,2931,451,0,0,0,0,0,0,0,0,0,0,0,0
9/6/07,0.00,0,1575,0,998,0,2573,998,0,0,0,0,0,0,0,0,0,0,0,0
9/7/07,0.00,0,2259,0,0,0,2259,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/07,0.00,0,1983,0,0,0,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
9/9/07,0.00,0,1741,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/07,0.00,0,1529,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/07,0.00,0,1342,0,0,0,1342,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/07,0.00,0,1178,0,0,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/07,0.00,0,1034,0,0,0,1034,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/07,0.00,0,908,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/07,0.00,0,797,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/07,0.00,0,700,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/07,0.00,0,614,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/07,0.00,0,539,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/07,0.00,0,473,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/07,0.00,0,416,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/07,0.00,0,365,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/07,0.00,0,320,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0
9/23/07,0.00,0,281,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/07,0.00,0,247,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/07,0.00,0,217,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/07,0.00,0,190,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/07,0.00,0,167,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/07,0.00,0,147,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/07,0.00,0,129,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/07,0.00,0,113,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/08,1.00,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/08,1.00,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/28/08,1.00,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/08,1.00,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/08,1.00,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/08,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/08,1.00,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/08,1.00,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/3/08,1.00,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/08,1.00,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/5/08,1.00,149,1,0,0,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/08,1.00,1013,4,0,0,1013,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/08,1.00,1179,6,0,0,1179,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/08,0.99,3434,21,0,0,3434,21,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/08,0.99,1396,10,0,0,1396,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6/10/08,0.99,4702,40,210,2,4912,42,212,0,0,0,0,0,0,0,0,0,0,0,0
6/11/08,0.99,8899,91,0,0,8899,91,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/08,0.99,5460,67,0,0,5460,67,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/08,0.99,10316,151,335,5,10651,156,340,0,0,0,0,0,0,0,0,0,0,0,0
